filename	width	height	status	ref_count	locales	sample_pages
ch07-rlhf-reward-kl-loop-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
ch07-rlhf-reward-kl-loop-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
ch07-rlhf-reward-model-training-result-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch07-alignment/02-rlhf.md
ch07-rlhf-reward-model-training-result-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
ch07-rlhf-reward-model-training-result.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/02-rlhf.md
ch07-safety-eval-version-result-board-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch07-alignment/04-safety-evaluation-lab.md
ch07-safety-eval-version-result-board-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/04-safety-evaluation-lab.md
ch07-safety-eval-version-result-board.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/04-safety-evaluation-lab.md
ch07-scale-cost-knobs-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-scale-cost-knobs-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-scale-cost-knobs-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-scale-estimator-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-scale-estimator-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-scale-estimator-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-solution-choice-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/index.md
ch07-solution-choice-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/index.md
ch07-solution-choice-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/index.md
ch07-structured-output-contract-validation-map-en.webp	1024	1792	keep	2	en	docs/ch07-llm-principles/ch05-prompt/03-structured-output.md;docs/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-structured-output-contract-validation-map-ja.webp	1024	1792	keep	2	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/03-structured-output.md;i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-structured-output-contract-validation-map.webp	1024	1792	keep	2	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/03-structured-output.md;i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-structured-output-validation-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch05-prompt/03-structured-output.md
ch07-structured-output-validation-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/03-structured-output.md
ch07-structured-output-validation-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/03-structured-output.md
ch07-study-guide-evolution-line-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/study-guide.md
ch07-study-guide-evolution-line-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/study-guide.md
ch07-study-guide-evolution-line.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/study-guide.md
ch07-temperature-sampling-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch02-llm-overview/02-core-concepts.md
ch07-temperature-sampling-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch02-llm-overview/02-core-concepts.md
ch07-temperature-sampling-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch02-llm-overview/02-core-concepts.md
ch07-token-to-answer-lifecycle-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/index.md
ch07-token-to-answer-lifecycle-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/index.md
ch07-token-to-answer-lifecycle.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/index.md
ch07-tokenizer-embedding-lab-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-embedding-lab-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-embedding-lab-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-embedding-lab-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-embedding-lab-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-embedding-lab-zh.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/05-tokenizer-embedding-lab.md
ch07-tokenizer-granularity-tradeoff-map-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-tokenizer-granularity-tradeoff-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-tokenizer-granularity-tradeoff-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-tokenizer-inputids-mask-length-map-en.webp	1536	1024	candidate	2	en	docs/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md;docs/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-tokenizer-inputids-mask-length-map-ja.webp	1536	1024	candidate	2	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md;i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-tokenizer-inputids-mask-length-map.webp	1536	1024	candidate	2	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md;i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch08-projects/03-stage-hands-on-workshop.md
ch07-tokenizer-wordpiece-run-result-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-tokenizer-wordpiece-run-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-tokenizer-wordpiece-run-result-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/01-tokenizer.md
ch07-train-inference-cost-split-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-train-inference-cost-split-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-train-inference-cost-split-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/04-scale-computation.md
ch07-transformer-block-dataflow-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
ch07-transformer-block-dataflow-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
ch07-transformer-block-dataflow-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch03-transformer-deep/01-architecture-review.md
