filename	width	height	status	ref_count	locales	sample_pages
agent-guardrails-layers-en.webp	1024	1792	keep	2	en	docs/ch09-agent/ch08-eval-safety/00-roadmap.md;docs/ch09-agent/ch08-eval-safety/04-guardrails.md
agent-guardrails-layers-ja.webp	1024	1792	keep	2	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch08-eval-safety/00-roadmap.md;i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch08-eval-safety/04-guardrails.md
agent-guardrails-layers.webp	1024	1792	keep	2	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch08-eval-safety/00-roadmap.md;i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch08-eval-safety/04-guardrails.md
agent-memory-system-en.webp	1536	1024	candidate	2	en	docs/ch09-agent/ch04-memory/00-roadmap.md;docs/ch09-agent/ch04-memory/01-memory-overview.md
agent-memory-system-ja.webp	1536	1024	candidate	2	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch04-memory/00-roadmap.md;i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch04-memory/01-memory-overview.md
agent-memory-system.webp	1536	1024	candidate	2	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch04-memory/00-roadmap.md;i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch04-memory/01-memory-overview.md
agent-system-architecture-en.webp	1024	1792	keep	1	en	docs/ch09-agent/ch01-agent-basics/04-system-architecture.md
agent-system-architecture-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/04-system-architecture.md
agent-system-architecture.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/04-system-architecture.md
agent-tool-trace-en.webp	1536	1024	candidate	1	en	docs/ch09-agent/ch03-tools/08-multi-tool-practice.md
agent-tool-trace-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch03-tools/08-multi-tool-practice.md
agent-tool-trace.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch03-tools/08-multi-tool-practice.md
agent-vs-chatbot-comparison-en.webp	1536	1024	candidate	1	en	docs/ch09-agent/ch01-agent-basics/01-what-is-agent.md
agent-vs-chatbot-comparison-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/01-what-is-agent.md
agent-vs-chatbot-comparison.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/01-what-is-agent.md
appendix-agent-system-lineage-map-en.webp	1536	1024	candidate	1	en	docs/ch09-agent/ch01-agent-basics/02-development-history.md
appendix-agent-system-lineage-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/02-development-history.md
appendix-agent-system-lineage-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch09-agent/ch01-agent-basics/02-development-history.md
ch09-advanced-planning-dag-critical-path-map-en.webp	1536	1024	candidate	1	en	docs/ch09-agent/ch02-reasoning/05-advanced-planning.md
