filename	width	height	status	ref_count	locales	sample_pages
ch08-advanced-rag-architecture-decision-map-v2-en.webp	864	1821	keep	1	en	docs/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-advanced-rag-architecture-decision-map-v2-ja.webp	948	1659	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-advanced-rag-architecture-decision-map-v2.webp	900	1748	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-advanced-rag-architecture-selection-map-en.webp	1536	1024	candidate	1	en	docs/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-advanced-rag-architecture-selection-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-advanced-rag-architecture-selection-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch08-rag/ch01-rag/06-advanced-rag.md
ch08-ai-coding-human-review-loop-map-en.webp	1536	1024	candidate	1	en	docs/ch08-rag/ch03-app-dev/06-ai-assisted-coding.md
ch08-ai-coding-human-review-loop-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch08-rag/ch03-app-dev/06-ai-assisted-coding.md
ch08-ai-coding-human-review-loop-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch08-rag/ch03-app-dev/06-ai-assisted-coding.md
ch08-ai-coding-test-run-result-map-en.webp	1024	1792	keep	1	en	docs/ch08-rag/ch03-app-dev/06-ai-assisted-coding.md
ch08-ai-coding-test-run-result-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch08-rag/ch03-app-dev/06-ai-assisted-coding.md
